decile,n,future_deterioration_rate
1,112833,8.079196688911932
2,112772,13.567197531302098
3,112755,21.779078533102744
4,112764,27.482175162285838
5,112785,35.37793146251718
6,112741,33.567202703541746
7,112751,31.943840852852745
8,112768,35.535790295119185
9,112761,40.804888214897
10,112820,52.57401170005318
