decile,n,future_deterioration_rate
1,113242,5.258649617633034
2,113166,6.845695703656575
3,113192,8.677291681390912
4,113165,11.819908982459241
5,113150,16.173221387538668
6,113201,23.005097128117242
7,113179,31.997985492008237
8,113178,44.2471151637244
9,113178,66.08793228365937
10,113253,86.70233901088713
