Period,banks,mean_G,median_G,mean_MHI_finite,median_MHI_finite,p95_MHI_finite,Critical,Watch,Diverging,Stable
2019Q4,5244,0.7356116600766416,0.7710061154141887,1.126437292472899,0.9412770242780076,1.9996032994832689,15,658,369,4202
2022Q4,4773,0.8167399687456834,0.8677008220727546,0.9273963113586126,0.8249678108878987,1.578253743280407,7,275,156,4335
2025Q4,4408,0.7575508826222985,0.8003129858881597,1.0969088482811304,0.9239291851515786,2.008785933217627,13,483,334,3578
