split,eval_start,eval_end,eval_n,eval_quarters,int_test_a_hi_n,int_test_a_lo_n,int_test_a_hi_rate,int_test_a_lo_rate,int_test_a_lift,int_test_b_decile1,int_test_b_decile10,int_test_b_spread,int_test_b_monotonic,int_test_c_run1,int_test_c_run5,int_test_c_run10,int_mhi_decile1,int_mhi_decile10,int_mhi_spread,int_mhi_monotonic,int_g_decile1,int_g_decile10,int_g_spread,int_g_monotonic,int_texas_decile1,int_texas_decile10,int_texas_spread,int_texas_monotonic,ext_fail_n_obs,ext_fail_n_positive,ext_fail_base_rate_pct,ext_fail_mhi_d1_pct,ext_fail_mhi_d10_pct,ext_fail_mhi_spread_pp,ext_fail_mhi_monotonic,ext_fail_mhi_inversions,ext_fail_g_d1_pct,ext_fail_g_d10_pct,ext_fail_g_spread_pp,ext_fail_g_monotonic,ext_fail_tx_d1_pct,ext_fail_tx_d10_pct,ext_fail_tx_spread_pp,ext_fail_tx_monotonic,ext_fail_sb_hi_n,ext_fail_sb_lo_n,ext_fail_sb_hi_rate_pct,ext_fail_sb_lo_rate_pct,ext_fail_sb_lift,ext_tx_n_obs,ext_tx_n_positive,ext_tx_base_rate_pct,ext_tx_mhi_d1_pct,ext_tx_mhi_d10_pct,ext_tx_mhi_spread_pp,ext_tx_mhi_monotonic,ext_tx_mhi_inversions,ext_tx_g_d1_pct,ext_tx_g_d10_pct,ext_tx_g_spread_pp,ext_tx_g_monotonic,ext_tx_tx_d1_pct,ext_tx_tx_d10_pct,ext_tx_tx_spread_pp,ext_tx_tx_monotonic,ext_tx_sb_hi_n,ext_tx_sb_lo_n,ext_tx_sb_hi_rate_pct,ext_tx_sb_lo_rate_pct,ext_tx_sb_lift,tier_critical,tier_watch,tier_diverging,tier_stable,tier_pct_watch_critical
full_panel,1992Q1,2025Q4,1131904,136,222381,29209,85.18173764845018,47.52987093019275,1.7921727112105317,6.7293239730508745,88.11669304846882,81.38736907541795,1,74.17307902702308,88.9791697444231,92.1897546897547,6.7293239730508745,88.11669304846882,81.38736907541795,1,5.258138857248815,86.7042273421701,81.44608848492129,1,8.391329756149393,51.9495585487456,43.55822879259621,0,1131904,4574,0.40409787402465225,0.32360170465597426,1.7456204734575491,1.4220187688015749,0,2,0.037085110328203226,3.0528351539663894,3.015750043638186,0,0.19036993748782516,2.5335848321422563,2.343214894654431,0,222381,29209,0.5526551279111075,2.39309801773426,0.23093710488062286,1131904,7161,0.6326508255117042,0.43058478187830457,3.397504487854054,2.9669197059757497,0,3,0.01324468226007258,5.299410980315969,5.286166298055896,0,0.02479236395190282,5.950072173073687,5.925279809121784,0,222381,29209,1.1259954762322322,3.4852271560135573,0.32307663914800855,10581,222381,128135,770807,20.58
pre2015_freeze,2015Q1,2025Q4,231650,44,25869,5105,82.18330820673393,32.02742409402546,2.566029286821876,2.544968295733943,77.99732516502006,75.45235686928612,1,70.70288520564763,86.74171357098186,91.0060975609756,2.544968295733943,77.99732516502006,75.45235686928612,1,3.1701531162389474,78.04667615719771,74.87652304095876,0,3.7859120803046036,29.57978101873891,25.793868938434308,0,231650,240,0.10360457586876753,0.0517620670318768,0.5220242460848181,0.4702621790529413,0,4,0.06038386888074186,0.7161037056209827,0.6557198367402408,0,0.11682242990654204,0.5539446920846497,0.4371222621781077,0,25869,5105,0.17395338049402762,0.3525954946131244,0.4933511152344505,231650,453,0.19555363695229872,0.1682267178535996,1.3072177401958671,1.1389910223422675,0,3,0.03019193444037093,1.5659376213278116,1.5357456868874406,0,0.017307026652821047,1.943134115203185,1.9258270885503639,0,25869,5105,0.4870694653832773,0.861900097943193,0.5651112774503705,789,25869,13121,191871,11.51
pre2006_freeze,2006Q1,2025Q4,514485,80,102671,20968,87.47065870596371,47.706028233498664,1.8335347113332472,6.2577760497667185,86.2517498833411,79.99397383357439,1,77.11029378377151,90.33275508594859,93.21453050034269,6.2577760497667185,86.2517498833411,79.99397383357439,1,4.98378231398217,83.90668401934694,78.92290170536477,1,7.075389019806415,51.26322145820753,44.18783243840112,1,514485,4378,0.8509480354140548,0.6862363919129083,3.684476590449526,2.9982401985366174,0,2,0.07380503816497369,6.474233212253064,6.40042817408809,0,0.38950668977739694,5.456103784794593,5.066597095017196,0,102671,20968,1.1259265031021417,3.2048836322014496,0.35131587674175163,514485,5095,0.9903106990485631,0.7873250388802489,5.000777725929383,4.213452687049134,0,3,0.029133567696700138,8.313746819214856,8.284613251518156,0,0.01752780103998286,9.237002551765784,9.219474750725801,0,102671,20968,1.572985555804463,4.239793971766502,0.37100518711032593,5721,102671,37020,369073,21.07
pre2010_freeze,2010Q1,2025Q4,377389,64,74967,13518,86.63812077314019,40.59032401242788,2.1344525544219226,4.289991785685896,85.04187427117566,80.75188248548976,1,76.44906605045253,89.63376784605835,92.152466367713,4.289991785685896,85.04187427117566,80.75188248548976,1,3.7569499602859415,83.3342159614468,79.57726600116087,1,5.438275047133487,47.45830234781685,42.02002730068336,1,377389,1766,0.46795216606737344,0.12983915843027108,2.7642319516590694,2.6343927932287983,0,3,0.03971405877680699,4.196896679553038,4.157182620776231,0,0.28412862795082183,3.712950175289493,3.428821547338671,0,74967,13518,0.3628263102431737,0.7841396656310106,0.46270623225162466,377389,3508,0.9295448462991768,0.40541614775166274,5.515212551680271,5.109796403928608,0,3,0.029123643102991793,8.03103320446963,8.001909561366638,0,0.018587854165007037,9.115053649208543,9.096465795043535,0,74967,13518,1.4366321181319779,2.8110667258470188,0.5110629729712652,4261,74967,23877,274284,20.99
